country,area,event,description,source
Costa Rica,Emergency powers,Renewal - statute,NA.,#N/A
Costa Rica,Emergency powers,Renewal - individual regulations,Not mentioned.,NA.
Costa Rica,Emergency powers,Derogation,No [Part II.A].,Forthcoming
Costa Rica,Emergency powers,Opposition from opposition parties,Not mentioned.,NA.
Costa Rica,Emergency powers,Constitutional changes,No [Part I].,Forthcoming
Costa Rica,Emergency powers,Miscellaneous,NA.,#N/A
Ethiopia,Emergency powers,Declaration of emergency,Yes [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-2
Ethiopia,Emergency powers,Constitutional,Yes [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-2
Ethiopia,Emergency powers,Statutory,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-2
Ethiopia,Emergency powers,Suspension of bill of rights,Yes - possibility to suspend specific rights [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-2
Ethiopia,Emergency powers,Suspension/postponement of elections,"Postponed (the sixth general elections (elections to Parliament and state councils), which were scheduled for August 2020, were postponed after the NEBE declared that it would not be able to administer free and fair elections within the context of Covid-19. It became apparent elections could not be held before the expiry of the terms of Parliament and the state councils on 5 October 2020 when the Council of Ministers declared a state of emergency. This gave rise to the constitutional issues of whether elections could be postponed and who would govern at the federal and state level after the expiry of the terms of Parliament and the state councils. The HPR requested the intervention of the HoF in settling this constitutional matter, since the latter is the constitutional umpire of the federation. The HoF, as per the recommendation of the Commission Council of Constitutional of Inquiry (CCI) which assists the HoF in resolving constitutional issues, decided that the sixth general elections should be postponed until such time that the HPR, based on the advice of the MoH, decided that Covid-19 is no longer a public health threat. The elections would be held within a year after HPR so decides. In the meantime, Parliament,  and state councils, and federal and state executives would continue governing. It should be noted though that the Covid-19 was not the sole reason for the postponement of the elections. The political crisis that began after the 2015 elections which, until even today, continues in one form or another was perhaps the key factor for the postponement of the elections. Secession of the Tigray state. On 29 December 2020, the NEBE announced that the elections would be held on 5 June 2021) [Part III.D].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-9
Ethiopia,Emergency powers,Stay-at-home orders,No - no general lockdown or mobility measures imposed nationwide [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div3-14
Ethiopia,Emergency powers,Sunset provisions on stay-at-home orders,NA.,NA.
Ethiopia,Emergency powers,"Stay-at-home orders
proper (timewise)?",NA (emergency declaration on 8 April 2020 / no stay at home measures).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div3-14
Ethiopia,Emergency powers,Parliament continued to meet?,Light interruption with light slowdown in activities: Parliament continued to function more or less routinely [Part III.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-7
Ethiopia,Emergency powers,Did Parliament continue to meet?,1,#N/A
Ethiopia,Emergency powers,Rule-making powers dependent emergency?,Yes [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-2
Ethiopia,Emergency powers,Ex ante judicial review,"No, not possible [Part III.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-6
Ethiopia,Emergency powers,Type of parliamentary scrutiny (general),Ex ante and ex post,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-6
Ethiopia,Emergency powers,Type of parliamentary scrutiny (per instrument),"No parliamentary scrunity per instrument (Parliament is not involved in determining the measures that should be taken during a state of emergency [Part III.A], but only to accept or reject a declaration of state of emergency).",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-6
Ethiopia,Emergency powers,Amendment possible?,No amendment possible (for declaration of emergency and content of the measures) [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-4
Ethiopia,Emergency powers,Approval by 'package',Not mentioned.,NA.
Ethiopia,Emergency powers,What are fast-track procedures used for?,Not mentioned.,NA.
Ethiopia,Emergency powers,Existence of coalition committees,Not mentioned.,NA.
Ethiopia,Emergency powers,Ex post judicial review,No - there is no possibility for courts to interpret the Constitution nor to review the legality of a state of emergency [Part III.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-8
Ethiopia,Emergency powers,What type of statute for emergency powers?,3,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-3
Ethiopia,Emergency powers,General - sunset provisions,Yes - 6 months sunset provision for the state of emergency and 5-months sunset provision for the proclamations [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-2
Ethiopia,Emergency powers,Sunset provision - emergency declaration,Yes [Part II.A].,#N/A
Ethiopia,Emergency powers,Sunset provision - statute,Yes - 5 months sunset provision for the declaration [Part II.B].,#N/A
Ethiopia,Emergency powers,Sunset provision - individual regulations,Not mentioned.,NA.
Ethiopia,Emergency powers,Renewal - emergency declaration,"Yes, the state of emergency can be renewed by the HPR with a special majority [Part II.B].",#N/A
Ethiopia,Emergency powers,Renewal - statute,No [Part II.B].,#N/A
Ethiopia,Emergency powers,Renewal - individual regulations,Not mentioned.,NA.
Ethiopia,Emergency powers,Derogation,Yes de facto [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-2
Ethiopia,Emergency powers,Opposition from opposition parties,No - the HPR is dominated by the ruling party [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e20?prd=OCC19#law-occ19-e20-div2-6
Ethiopia,Emergency powers,Constitutional changes,Not mentioned.,NA.
Ethiopia,Emergency powers,Miscellaneous,The pandemic had an important impact on the political context and the 'secession' of the State of Tigray [Part II.A and Part III.D].,#N/A
Finland,Emergency powers,Declaration of emergency,Yes - twice [Part II.A],Forthcoming
Finland,Emergency powers,Constitutional,Yes (Section 23 of the Constitution) [Part II.A].,Forthcoming
Finland,Emergency powers,Statutory,Yes - under the Emergency Powers Act [Part II.A].,Forthcoming
Finland,Emergency powers,Suspension of bill of rights,No - but restrictions [Part II.A].,Forthcoming
Finland,Emergency powers,Suspension/postponement of elections,Postponed (municipal elections were initially scheduled to be held on 18 April 2021 and finally happened on 13 June 2021 - with advance voting taking place between 26 May and 8 June 2021) [Part III.D].,Forthcoming
Finland,Emergency powers,Stay-at-home orders,No [Part IV.A.1].,Forthcoming
Finland,Emergency powers,Sunset provisions on stay-at-home orders,NA.,NA.
Finland,Emergency powers,"Stay-at-home orders
proper (timewise)?",NA (no stay-at-home order),Forthcoming
Finland,Emergency powers,Parliament continued to meet?,Light interruption with light slowdown: no interruption but parliamentary proceedings concerning non-urgent matters were postponed (March 2020- Sep 2020 and twice in March and April 2021) and restrictions of the number of MPs in plenary sessions  [Part III.B].,Forthcoming
Finland,Emergency powers,Did Parliament continue to meet?,1,#N/A
Finland,Emergency powers,Rule-making powers dependent emergency?,Yes (until the Communicable Diseases Act was amended so that there would be no need to declare new states of emergency) [Part II.B].,Forthcoming
Finland,Emergency powers,Ex ante judicial review,No - ex  post [Part II.C].,Forthcoming
Finland,Emergency powers,Type of parliamentary scrutiny (general),"Ex post (Decree on the Putting into Operation of the Act must be submitted to Parliament within one week of its issuing, or it expires. Parliament can wholly or partly repeal it) [Part III.A].",Forthcoming
Finland,Emergency powers,Type of parliamentary scrutiny (per instrument),No scrutiny per instrument: the Parliament can use the made-affirmative procedure for the Decree on the Putting into Operation of the Act but other individual decrees are not scrutinised) [Part III.A].,Forthcoming
Finland,Emergency powers,Amendment possible?,Amendment possible (for the general Decree at least) [Part II.A].,Forthcoming
Finland,Emergency powers,Approval by 'package',"Yes, in a way - as what is submitted before Parliament is the Decree on Putting into Operation of the Act [Part II.A].",Forthcoming
Finland,Emergency powers,What are fast-track procedures used for?,Yes - decrees related to state of emergencies must be submitted to the Parliament and the Parliament discusses the decree in a single reading instead of two [Part III.A].,Forthcoming
Finland,Emergency powers,Existence of coalition committees,Not mentioned.,NA.
Finland,Emergency powers,Ex post judicial review,Yes (before administrative courts against orders made by public authorities but not over declarations of states of emergency) [Part II.C and III.C].,Forthcoming
Finland,Emergency powers,What type of statute for emergency powers?,1,Forthcoming
Finland,Emergency powers,General - sunset provisions,Yes (for the decree on the Putting into Operation of the Act - expires after one week if not submitted to the Parliament / this Decree cannot last for more than 6 months at a time / decrees issued pursuant to the Emergency Powers Act depend on the period of validity of the Decree on the Putting into Operation / no maximum duration for regular decrees) [Part II.C and Part III.A].,Forthcoming
Finland,Emergency powers,Sunset provision - emergency declaration,Yes - 6 months sunset provision [Part II.C].,#N/A
Finland,Emergency powers,Sunset provision - statute,NA.,#N/A
Finland,Emergency powers,Sunset provision - individual regulations,Yes - maximum 6 months sunset provision (depends on the validity of the main Decree) [Part II.C]. No sunset provisions for regular decrees [Part III.A].,Forthcoming
Finland,Emergency powers,Renewal - emergency declaration,No - maximum of 6 months at a time [Part II.A].,#N/A
Finland,Emergency powers,Renewal - statute,NA.,#N/A
Finland,Emergency powers,Renewal - individual regulations,No [Part II.A].,Forthcoming
Finland,Emergency powers,Derogation,No [Part II.A].,Forthcoming
Finland,Emergency powers,Opposition from opposition parties,No opposition concerning the Covid-19 measures [Part III.A].,Forthcoming
Finland,Emergency powers,Constitutional changes,No changes but some unclarity that arose regarding the relationship between the two procedures for declaring a state of emergency [Part I].,Forthcoming
Finland,Emergency powers,Miscellaneous,NA.,#N/A
France,Emergency powers,Declaration of emergency,Yes - 'state of health emergency' [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-2
France,Emergency powers,Constitutional,"No, by statute [Part II.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-2
France,Emergency powers,Statutory,Yes - by statute [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-2
France,Emergency powers,Suspension of bill of rights,No - but restrictions [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-2
France,Emergency powers,Suspension/postponement of elections,"Postponed (municipal elections were planned on 15 March and 22 March 2020, to elect mayors and city councils. Lockdown led to postponement of the 22 March 2020 elections. The second ballot was then planned on 28 June 2020. Besides municipal elections, the election of six senators representing French people living abroad was postponed by a year. The mandate of the six senators, which was supposed to be terminated, was also extended to 30 September 2020.) [Part III.D].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-9
France,Emergency powers,Stay-at-home orders,Yes [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div3-14
France,Emergency powers,Sunset provisions on stay-at-home orders,Not mentioned.,NA.
France,Emergency powers,"Stay-at-home orders
proper (timewise)?",No (statute for the emergency declaration was enacted on 23 March 2020 / stay-at-home orders imposed on 16 March 2020). The executive found a legal basis for the gap in time in the doctrine of exceptional circumstances (see miscellaneous).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-6
France,Emergency powers,Parliament continued to meet?,"Mild interruption with important slowdown in activities: Parliament was initially in recess from 9 to 22 March 2020, but access to parliamentary premises was restricted from 17 March 2020 until the end of June [Part III.B]. As a consequence, presidents of parliamentary groups were allowed to vote on behalf of their MPs. Except for committees, no meetings were held online and the authors note that it was impossible to preserve real parliamentary debate.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-7
France,Emergency powers,Did Parliament continue to meet?,1,#N/A
France,Emergency powers,Rule-making powers dependent emergency?,Yes [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-3
France,Emergency powers,Ex ante judicial review,"No - it should nevertheless be noted that in the case of the first bill extending the state of health emergency, the President used his right to seize the CC (aimed at increasing the legitimacy of such a decision). With regards to ordinances, lack of ex ante constitutional scrutiny (exacerbated during the crisis) [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-4
France,Emergency powers,Type of parliamentary scrutiny (general),"Ex post (through renewal of the state of emergency, and through the scrutiny of ordinances) (and ex ante information of Parliament of any measure that will be taken by the Government) [Part III.A]",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-6
France,Emergency powers,Type of parliamentary scrutiny (per instrument),"Yes, but only for ordinances and not other regulations (made-affirmative procedure) [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9?prd=OCC19#law-occ19-e9-div2-4
France,Emergency powers,Amendment possible?,Amendment possible (for statutes extending the state of emergency) [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-6
France,Emergency powers,Approval by 'package',Not mentioned.,NA.
France,Emergency powers,What are fast-track procedures used for?,"Yes - for the adoption of Statute n° 2020-290 declaring the state of emergency [Part II.B] (4 days), for the adoption of a bill extending the state of emergency [Part II.C], for the adoption of ordinances and of various statutes [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-4
France,Emergency powers,Existence of coalition committees,Not mentioned.,NA.
France,Emergency powers,Ex post judicial review,"Yes, and cases regarding public health measures have been brought before courts by civil society organisations [Part II.B]. Regulatory measures can all be reviewed by a judge [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-4
France,Emergency powers,What type of statute for emergency powers?,3,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-3
France,Emergency powers,General - sunset provisions,Yes - state of health emergency is for one month [Part II.B]. Ordinances and regulations have different expiry dates [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-4
France,Emergency powers,Sunset provision - emergency declaration,Yes [Part II.B].,#N/A
France,Emergency powers,Sunset provision - statute,Yes [Part III.A].,#N/A
France,Emergency powers,Sunset provision - individual regulations,Yes [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-4
France,Emergency powers,Renewal - emergency declaration,"Yes - state of health emergency can only be renewed by Parliament for a duration fixed in the new statute [Part II.B] (in this case, it was for two months the first time - until 10 July 2020- and the second, declared in October 2020, was extended twice - until February 2021 and June 2021).",#N/A
France,Emergency powers,Renewal - statute,Not mentioned.,#N/A
France,Emergency powers,Renewal - individual regulations,Not mentioned.,NA.
France,Emergency powers,Derogation,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-2
France,Emergency powers,Opposition from opposition parties,Not really strongly [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div2-3
France,Emergency powers,Constitutional changes,No changes but disruption to the equilibrium [Part I].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e9#law-occ19-e9-div1-2
France,Emergency powers,Miscellaneous,"(a) there was a mixed regime when the first state of health emergency ended - the executive was still granted exceptional powers and the regime was still a derogatory regime [Part III.A] ; (b) the executive, before the statute delegating powers was adopted by the Parliament, used the doctrine of exceptional circumstances (used during the two world wars) to declare a national lockdown (can override an absence of delegation of powers by the Parliament).",#N/A
Germany,Emergency powers,Declaration of emergency,Yes - 'epidemic emergency of national concern' [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-3
Germany,Emergency powers,Constitutional,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-2
Germany,Emergency powers,Statutory,Yes [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-3
Germany,Emergency powers,Suspension of bill of rights,No - but 'interference' with fundamental rights [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-2
Germany,Emergency powers,Suspension/postponement of elections,"No (in 2020, only elections at local level had to be held during the pandemic. Whereas the first ballot of the local elections in Bavaria in mid-March 2020 was not decisively affected by the beginning spread of Covid-19 at that time, the second ballot on 29 March 2020, though not postponed, was exclusively organized as a postal vote with the respective documents being sent automatically to all eligible voters. In North Rhine-Westphalia, the parliament enacted a law facilitating the local elections, eg by extending deadlines for applications of candidates, that finally took place as planned in September 2020) [prt III.D]. IDEA: 'Local elections in Hessen and Saxony, Germany (originally scheduled for April–October 2020) moved (Hessen) to 14 March 2021'.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-9
Germany,Emergency powers,Stay-at-home orders,Yes (Länder implemented) [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div3-15
Germany,Emergency powers,Sunset provisions on stay-at-home orders,Not mentioned.,NA.
Germany,Emergency powers,"Stay-at-home orders
proper (timewise)?","Yes, although the emergency was declared on 25 March 2020 but there was an informal consensus between the Federal Chancellor and the ministers-presidents of the Länder that the latter would be imposing mobility restrictions.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div3-15
Germany,Emergency powers,Parliament continued to meet?,"Mild interruption with important slowdown in activities: parliamentary groups were reduced, but the scheduled recess in the summer was neither extended nor postponed [Part III.B]. Parliament's work has not been interrupted irregularly, and committees were able to meet and vote virtually (not the plenary).",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-7
Germany,Emergency powers,Did Parliament continue to meet?,1,#N/A
Germany,Emergency powers,Rule-making powers dependent emergency?,Yes [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-3
Germany,Emergency powers,Ex ante judicial review,"No, not mentioned.",NA.
Germany,Emergency powers,Type of parliamentary scrutiny (general),Ex ante (for the declaration) and ex post,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-6
Germany,Emergency powers,Type of parliamentary scrutiny (per instrument),No parliamentary scrutiny per instrument [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-6
Germany,Emergency powers,Amendment possible?,"Yes, for the amendments on previously exisiting statutes [Part III.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-6
Germany,Emergency powers,Approval by 'package',Not mentioned.,NA.
Germany,Emergency powers,What are fast-track procedures used for?,Yes - (but not formally) - for the adoption of the admendment to the Infection Protection Act 2000 (1 week).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-3
Germany,Emergency powers,Existence of coalition committees,"It was not used in this case but it is possible to set up a Joint Committee which may substitute both the Bundestag and the Bundesrat during the state of defence. There were debates regarding whether the Constitution should be amended if most MPs fell ill, to have a 'committee of emergency' to replace the Bundestag [Part III.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-7
Germany,Emergency powers,Ex post judicial review,"Yes, all measures are subject to scrutiny by courts [Part II.C].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-4
Germany,Emergency powers,What type of statute for emergency powers?,3,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-3
Germany,Emergency powers,General - sunset provisions,Yes - the declaration of epidemic emergency is not temporally limited but expires when section 5 runs out according to the sunset clause of the relevant statute (on 31 March 2021) [Part II.B; Part III.A]. The regulations cannot last more than 4 weeks [Part II.C] and the Länder's regulations expire with the repeal of the declaration of epidemic emergency.,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-3 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-4 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-6
Germany,Emergency powers,Sunset provision - emergency declaration,Yes [Part III.A].,#N/A
Germany,Emergency powers,Sunset provision - statute,Yes [Part III.A].,#N/A
Germany,Emergency powers,Sunset provision - individual regulations,Yes [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-4
Germany,Emergency powers,Renewal - emergency declaration,NA - the Bundestag will need to renew the statutory provision extending executive powers if still required in March 2021 [Part III.A].,#N/A
Germany,Emergency powers,Renewal - statute,NA.,#N/A
Germany,Emergency powers,Renewal - individual regulations,Not mentioned.,NA.
Germany,Emergency powers,Derogation,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-2
Germany,Emergency powers,Opposition from opposition parties,Yes (but not too strongly) - some parties opposed amendments or abstained from voting [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div2-3
Germany,Emergency powers,Constitutional changes,No changes but crucial legal questions were raised [Part I].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e2?prd=OCC19#law-occ19-e2-div1-2
Germany,Emergency powers,Miscellaneous,NA.,#N/A
Hong Kong,Emergency powers,Declaration of emergency,No - not a formal declaration at least [Part II.A] but rather a 'state of affairs' [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-2 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-3
Hong Kong,Emergency powers,Constitutional,NA [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-2
Hong Kong,Emergency powers,Statutory,NA - but the aforementioned state of affairs triggers statutes and decree powers under the relevant statutes [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-3
Hong Kong,Emergency powers,Suspension of bill of rights,No - not in principle [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-2
Hong Kong,Emergency powers,Suspension/postponement of elections,"Postponed (the Chief Executive in Council decided to postpone the Legislative Council General Election from 6 September 2020 to 5 September 2021. The Chief Executive in Council exercised her powers under the Emergency Regulations Ordinance to make the Emergency (Date of General Election) (Seventh Term of the Legislative Council) Regulation, effective 1 August 2020). Constitutional status of this decision dubious [Part III.D].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-9
Hong Kong,Emergency powers,Stay-at-home orders,No - only at the local level [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div3-14
Hong Kong,Emergency powers,Sunset provisions on stay-at-home orders,NA.,NA.
Hong Kong,Emergency powers,"Stay-at-home orders
proper (timewise)?",NA (no emergency declaration nor territory-wide lockdown measures - the latter were only local).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div3-14
Hong Kong,Emergency powers,Parliament continued to meet?,"Mild interruption with important slowdown in activities: a meeting was held on 15 February 2020 to deal with urgent Covid-19-related matters, but significant periods of the pandemic fell within recess periods; for instance, the Legislative Council did not meet between July and October 2020 but it was the summer recess, and committees continued their work. Meetings could nevertheless be adjourned / cancelled / abbreviated if needed [Part III.B].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-7
Hong Kong,Emergency powers,Did Parliament continue to meet?,0,#N/A
Hong Kong,Emergency powers,Rule-making powers dependent emergency?,No - as the legal framework is used according to a state of affairs rather than according to a declaration of public health emergency [Part II.B].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-3
Hong Kong,Emergency powers,Ex ante judicial review,"No, not mentioned.",NA.
Hong Kong,Emergency powers,Type of parliamentary scrutiny (general),Ex ante [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-6
Hong Kong,Emergency powers,Type of parliamentary scrutiny (per instrument),Negative vetting procedure [Part III.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-6
Hong Kong,Emergency powers,Amendment possible?,Amendment technically possible (although very rare) (for subsidiary legislation measures) [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-4
Hong Kong,Emergency powers,Approval by 'package',Not mentioned.,NA.
Hong Kong,Emergency powers,What are fast-track procedures used for?,Not mentioned.,NA.
Hong Kong,Emergency powers,Existence of coalition committees,Not mentioned.,NA.
Hong Kong,Emergency powers,Ex post judicial review,"Yes, possible [Part IV.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-13
Hong Kong,Emergency powers,What type of statute for emergency powers?,1,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-3
Hong Kong,Emergency powers,General - sunset provisions,Yes - all measures taken under subsidiary legislation have sunset clauses [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-4
Hong Kong,Emergency powers,Sunset provision - emergency declaration,NA.,#N/A
Hong Kong,Emergency powers,Sunset provision - statute,Not mentioned.,#N/A
Hong Kong,Emergency powers,Sunset provision - individual regulations,Yes [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-4
Hong Kong,Emergency powers,Renewal - emergency declaration,NA.,#N/A
Hong Kong,Emergency powers,Renewal - statute,Not mentioned.,#N/A
Hong Kong,Emergency powers,Renewal - individual regulations,Yes - there is no limit on the number of times these powers (under subsidiary legislation) can be extended [Part II.C].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e8?prd=OCC19#law-occ19-e8-div2-4
